searge,name
func_198107_o,getScaledWidth
func_198087_p,getScaledHeight
func_198105_m,getWindowWidth
func_198083_n,getWindowHeight
func_194800_d,renderVignette
func_194808_p,renderPumpkinOverlay
func_194802_a,renderScoreboard
func_194807_n,renderPlayerStats
func_194804_b,renderExpBar
func_194798_c,renderAttackIndicator
func_194806_b,renderHotbar
func_194803_a,renderHorseJumpBar
func_194805_e,renderPortal
func_194801_c,renderSelectedItem
func_194809_b,renderPotionEffects
func_195623_a,renderSelectedItem
func_195542_b,runGameLoop
func_205055_a,loadWorld
func_199280_a,spawnEffectParticle
func_200200_C_,getName
func_211128_a,renderEffect
func_200293_a,canCollideCheck
func_211165_a,fromFormattingCode
func_194829_a,mouseClicked
func_199400_c,mousePressed
